附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
阿拉坦额莫勒,10207000,呼伦湖水系,呼伦贝尔市,克鲁伦河,,水位、径流、降水、泥沙,新巴尔虎右旗阿拉坦额莫勒镇,116,49,,48,38,,内蒙古水文总局,,A,
阿木古郎,10224000,呼伦湖水系,呼伦贝尔市,乌尔逊河,,降水,新巴尔虎左旗阿木古郎镇,118,16,,48,13,,内蒙古水文总局,,A,
坤都冷,10203000,呼伦湖水系,呼伦贝尔市,乌尔逊河,,水位、径流、降水、蒸发,新巴尔虎左旗巴音塔拉苏木,117,45,,48,4,,内蒙古水文总局,,A,
满洲里,10230000,呼伦湖水系,呼伦贝尔市,额尔古纳河,,降水,满洲里市,117,26,,49,35,,内蒙古水文总局,,A,
海拉尔(三),10313020,海拉尔河,呼伦贝尔市,伊敏河,22516,水位、径流、泥沙、降水,海拉尔市桥头街,119,45,,49,12,,内蒙古水文总局,,A,
红花尔基,10311000,海拉尔河,呼伦贝尔市,伊敏河,5390,水位、径流、降水、蒸发,鄂温克族自治旗红花尔基镇,119,59,,48,17,,内蒙古水文总局,,A,
头道桥,10332000,海拉尔河,呼伦贝尔市,伊敏河,,降水,鄂温克族自治旗红花尔基镇头道桥林场,120,14,,48,17,,内蒙古水文总局,,A,
维纳河,10334000,海拉尔河,呼伦贝尔市,维纳河,,降水,鄂温克族自治旗红花尔基镇维纳河林场,120,34,,48,27,,内蒙古水文总局,,A,
伊敏牧场,10312000,海拉尔河,呼伦贝尔市,伊敏河,8526,水位、径流,鄂温克族自治旗伊敏河镇伍牧场,119,48,,48,39,,内蒙古水文总局,,A,
伊敏牧场,10338000,海拉尔河,呼伦贝尔市,伊敏河,,降水、蒸发,鄂温克族自治旗伊敏镇伍牧场,119,48,,48,39,,内蒙古水文总局,,A,
大桥屯,10307000,海拉尔河,呼伦贝尔市,免渡河,6602,水位、径流,牙克石市大桥屯,120,46,,49,16,,内蒙古水文总局,,A,
免渡河,10328000,海拉尔河,呼伦贝尔市,免渡河,,降水,牙克石市免渡河镇,121,3,,49,6,,内蒙古水文总局,,A,
乌尔其汗,10305000,海拉尔河,呼伦贝尔市,库都尔河,3394,水位、径流,牙克石市乌尔其汗镇,121,22,,49,34,,内蒙古水文总局,,A,
乌尔其汗,10324000,海拉尔河,呼伦贝尔市,库都尔河,,降水、蒸发,牙克石市乌尔其汗镇,121,22,,49,34,,内蒙古水文总局,,A,
兴安,10326000,海拉尔河,呼伦贝尔市,伊列克得河,,降水,牙克石市免渡河镇兴安村,121,40,,48,49,,内蒙古水文总局,,A,
牙克石(三),10301030,海拉尔河,呼伦贝尔市,海拉尔河,15195,水位、径流、降水、蒸发,牙克石市,120,40,,49,20,,内蒙古水文总局,,A,
巴彦库仁,10346000,海拉尔河,呼伦贝尔市,海拉尔河,,降水,陈巴尔虎旗巴彦库仁镇,119,26,,49,19,,内蒙古水文总局,,A,
坝后,10302000,海拉尔河,呼伦贝尔市,海拉尔河,43164,水位、径流,海拉尔市建设乡坝后,119,44,,49,16,,内蒙古水文总局,,A,
头站(二),10316020,海拉尔河,呼伦贝尔市,莫尔格勒河,3322,水位、径流、降水、蒸发,陈巴尔虎旗巴彦哈达苏木头站,119,40,,49,30,,内蒙古水文总局,,A,
根河,10232000,额尔古纳河干流,呼伦贝尔市,根河,,降水,额尔古纳左旗根河镇,121,31,,50,48,,内蒙古水文总局,,A,
