,name,code,watershed,city,river,area,type,location,institution,note,note2,lon,lat
3098,黄河沿,40100100,河源至玛曲,果洛州,黄河,20930,泥沙,玛多县黄河沿,黄委会,,d,98.13333333333334,34.95
3099,吉迈,40100150,河源至玛曲,果洛州,黄河,45019,蒸发径流泥沙地下水,达日县吉迈,黄委会,,d,99.65,33.766666666666666
3100,唐乃亥,40100350,玛曲至龙羊峡,海南州,黄河,121972,降水径流泥沙地下水,兴海县唐乃亥乡下村,黄委会,,d,100.15,35.5
3101,贵德,40100500,龙羊峡至兰州,海南州,黄河,133650,泥沙,贵德县河西乡黄河大桥,黄委会,,d,101.4,36.03333333333333
3102,循化,40100550,龙羊峡至兰州,海东地区,黄河,145459,降水径流泥沙,循化县城关镇,黄委会,,d,102.5,35.833333333333336
3121,玛曲,40100250,玛曲至龙羊峡,甘南州,黄河,86048,水位流量泥沙降蒸,甘肃省玛曲县黄河大桥,黄河水利委员会,,d,105.08333333333333,33.96666666666667
3122,循化,40100550,玛曲至龙羊峡,青海省,黄河,145459,水位流量泥沙降蒸,青海省循化县城镇乡,黄河水利委员会,,d,102.5,35.833333333333336
3123,上诠,40101000,玛曲至龙羊峡,临夏州,黄河,182821,水位流量泥沙降蒸,甘肃省永靖县盐锅峡乡上诠村,黄河水利委员会,,d,103.3,36.06666666666667
3124,小川,40100800,玛曲至龙羊峡,临夏州,黄河,181770,水位流量泥沙降蒸,甘肃省永靖县刘家峡乡小川村,黄河水利委员会,,d,103.33333333333333,35.93333333333333
3127,兰州,40101200,玛曲至龙羊峡,兰州市,黄河,222551,水位流量泥沙降蒸水质,甘肃省兰州市滨河路中山桥,黄河水利委员会,,d,103.81666666666666,36.06666666666667
3128,安宁渡,40101600,玛曲至龙羊峡,白银市,黄河,243868,水位流量泥沙降蒸,甘肃省白银市平川区黄湾中乡,黄河水利委员会,,d,104.6,36.78333333333333
3188,王台,40228900,龙羊峡至兰州干流区,临夏州,黄河,,降水,甘肃省永靖县王台乡王台村,甘肃水文水资源勘测局,,d,103.03333333333333,35.88333333333333
3202,崖渠川,40232700,兰州至下河沿,兰州市,黄河,,降水,甘肃省皋兰县忠和乡崖渠川村,甘肃水文水资源勘测局,,d,103.8,36.233333333333334
3405,青铜峡,40532200,青铜峡至石嘴山,吴忠,黄河,275010,水文,宁夏回族自治区青铜峡市青铜峡镇,黄河水利委员会,,d,106.0,35.9
3467,中卫,40520650,下河沿至青铜峡,雨量,黄河,,雨量,宁夏回族自治区中卫县城,宁夏回族自治区水利厅,,d,105.18333333333334,37.53333333333333
3468,下河沿,40520500,下河沿至青铜峡,吴忠,黄河,254142,水文,宁夏回族自治区中卫县长乐乡上下河沿村,黄河水利委员会,,d,,
3472,申滩,40101850,下河沿至青铜峡,吴忠,黄河,,水位,宁夏回族自治区中卫县永康乡申滩,宁夏回族自治区水利厅,,d,105.25,37.333333333333336
3473,康滩,40101950,下河沿至青铜峡,吴忠,黄河,,水位,宁夏回族自治区中卫县康滩乡黄滨村,宁夏回族自治区水利厅,,d,105.65,37.516666666666666
3474,叶盛,40102170,青铜峡至石嘴山,吴忠,黄河,,水位,宁夏回族自治区青铜峡市叶盛乡,宁夏回族自治区水利厅,,d,106.2,38.083333333333336
3475,石坝,40102280,青铜峡至石嘴山,吴忠,黄河,,水位,宁夏回族自治区灵武市横山乡石坝村,宁夏回族自治区水利厅,,d,106.4,38.35
3476,高仁镇,40102370,青铜峡至石嘴山,石嘴山,黄河,,水位,宁夏回族自治区陶乐县高仁镇,宁夏回族自治区水利厅,,d,106.6,38.71666666666667
3477,五堆子,40102420,青铜峡至石嘴山,石嘴山,黄河,,水位,宁夏回族自治区陶乐乡红卫乡,宁夏回族自治区水利厅,,d,106.71666666666667,38.86666666666667
3478,红崖子,40102450,青铜峡至石嘴山,石嘴山,黄河,,水位,宁夏回族自治区陶乐乡红崖子乡,宁夏回族自治区水利厅,,d,106.85,39.016666666666666
