OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Xizang,西藏,西藏, , , , ,1911,9,1911,9,Qingchao,清朝,Xizang,西藏,0.000000000000000,POLYGON,1788,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,86.826179999999994,31.412009999999999,1438410.0000000
,Qinghai,青海,青海, , , , ,1911,9,1911,9,Qingchao,清朝,Qinghai,青海,0.000000000000000,POLYGON,1789,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,95.979990000000001,35.268639999999998,645031.0000000
,Ye'erqiang,叶尔羌,葉爾羌, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1790,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,76.792410000000004,37.943689999999997,187370.0000000
,Akesu,阿克苏,阿克蘇, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1791,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,80.674199999999999,41.274299999999997,68273.0000000
,Wulumuqi,乌噜木齐,烏嚕木齊, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1792,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,87.048929999999999,44.432130000000001,93639.1015625
,Gucheng,古城,古城, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1793,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,90.372550000000004,44.307180000000002,34310.3007813
,Tulufan,吐鲁番,吐魯番, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1794,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,89.841999999999999,41.806890000000003,108007.0000000
,Balikun,巴里坤,巴里坤, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1795,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,93.780069999999995,44.039430000000003,58317.3984375
,Hami,哈密,哈密, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1796,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,93.913160000000005,42.178649999999998,95756.0000000
,Hetian,和阗,和闐, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1797,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,84.990960000000001,37.766430000000000,678660.0000000
,Kuche,库车,庫車, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1798,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,82.755960000000002,41.621200000000002,27260.4003906
,Kalasha'er,喀喇沙尔,喀喇沙爾, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1799,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,85.725830000000002,41.796740000000000,115855.0000000
,Wushen,乌什,烏什, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1800,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,77.628259999999997,40.974580000000003,52390.8984375
,Ku'erkalawu,喀喇乌苏,喀喇烏蘇, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1801,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,83.529460000000000,44.574219999999997,32626.6992188
,Geshenge'er,喀什噶尔,喀什噶爾, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1802,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,74.573030000000003,39.115200000000002,174772.0000000
,Ta'erbahatai,塔尔巴哈台,塔爾巴哈臺, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1803,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,84.547420000000002,47.242410000000000,257208.0000000
,Yili,伊犁,伊犁, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0.000000000000000,POLYGON,1804,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,77.333529999999996,43.997819999999997,526459.0000000
,Tangnuwulianghai,唐努乌梁海,唐努烏粱海, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0.000000000000000,POLYGON,1805,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,93.863110000000006,51.535860000000000,262392.0000000
,Tuxietuhanbu,土谢图汗部,土謝圖汗部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0.000000000000000,POLYGON,1806,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,107.117500000000007,46.410969999999999,398228.0000000
,Chechenhanbu,车臣汗部,車臣汗部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0.000000000000000,POLYGON,1807,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,113.912869999999998,47.841340000000002,273729.0000000
,Kebuduo,科布多,科布多, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0.000000000000000,POLYGON,1808,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,89.602840000000000,48.644120000000001,440138.0000000
