,0
0,西藏
1,青海
2,叶尔羌
3,阿克苏
4,乌噜木齐
5,古城
6,吐鲁番
7,巴里坤
8,哈密
9,和阗
10,库车
11,喀喇沙尔
12,乌什
13,喀喇乌苏
14,喀什噶尔
15,塔尔巴哈台
16,伊犁
17,唐努乌梁海
18,土谢图汗部
19,车臣汗部
20,科布多
21,三音诺颜部
22,扎萨克图汗部
23,忻州
24,沁州
25,霍州
26,辽州
27,潞安府
28,泽州府
29,平阳府
30,解州
31,隰州
32,汾州府
33,宁武府
34,太原府
35,保德州
36,归绥六厅
37,凉州府
38,甘州府
39,安西州
40,肃州
41,宁夏府
42,西宁府
43,兰州府
44,巩昌府
45,忠州
46,叙州府
47,嘉定府
48,松潘厅
49,杂谷厅
50,懋功厅
51,雅州府
52,宁远府
53,邛州
54,眉州
55,茂州
56,泸州
57,重庆府
58,龙安府
59,成都府
60,绵州
61,资州
62,潼川府
63,顺庆府
64,绥定府
65,叙永厅
66,石砫厅
67,开化府
68,昭通府
69,东川府
70,永北厅
71,武定州
72,曲靖府
73,楚雄府
74,云南府
75,元江州
76,澂江府
77,临安府
78,丽江府
79,腾越厅
80,大理府
81,永昌府
82,蒙化厅
83,顺宁府
84,景东厅
85,镇沅州
86,普洱府
87,广西州
88,广南府
89,仁怀厅
90,遵义府
91,大定府
92,普安厅
93,安顺府
94,兴义府
95,贵阳府
96,平越州
97,都匀府
98,思南府
99,石阡府
100,柳州府
101,平乐府
102,镇安府
103,思恩府
104,庆远府
105,泗城府
106,许州
107,南阳府
108,陈州府
109,汝州
110,河南府
111,怀庆府
112,南康府
113,吉安府
114,宁都州
115,瑞州府
116,袁州府
117,临江府
118,抚州府
119,广信府
120,南安府
121,嘉兴府
122,湖州府
123,镇江府
124,常州府
125,太仓州
126,松江府
127,青州府
128,泰安府
129,莱州府
130,登州府
131,琼州府
132,奉天府
133,养息牧场
134,大凌河牧场
135,三姓副都统辖区
136,宁古塔副都统辖区
137,阿勒楚喀副都统辖区
138,白都纳副都统辖区
139,吉林副都统辖区
140,呼伦贝尔副都统辖区
141,黑龙江副都统辖区
142,墨尔根副都统辖区
143,齐齐哈尔副都统辖区
144,哲里木盟
145,达里冈爱牧场
146,额济纳土尔扈特旗
147,锡林郭勒盟
148,阿拉善厄鲁特旗
149,乌兰察布盟
150,中俄尼布楚条约待议地
151,万里长沙
152,千里石塘
153, 
154,东沙
155,台湾府
156,昭乌达盟
157,朔平府
158,大名府
159,广平府
160,顺德府
161,赵州
162,冀州
163,深州
164,河间府
165,保定府
166,定州
167,正定府
168,天津府
169,顺天府
170,易州
171,宣化府
172,遵化州
173,永平府
174,锦州府
175,承德府
176,口北三厅
177,大同府
178,代州
179,平定州
180,彰德府
181,临清州
182,东昌府
183,武定府
184,济南府
185,卫辉府
186,开封府
187,郧阳府
188,襄阳府
189,德安府
190,汉阳府
191,黄州府
192,武昌府
193,安陆府
194,荆门州
195,宜昌府
196,荆州府
197,施南府
198,徽州府
199,安庆府
200,池州府
201,宁国府
202,庐州府
203,太平府
204,凤阳府
205,颍州府
206,泗州
207,滁州
208,和州
209,广德州
210,六安州
211,徐州府
212,海州
213,榆林府
214,绥德州
215,延安府
216,鄜州
217,同州府
218,商州
219,兴安府
220,淮安府
221,扬州府
222,江宁府
223,海门厅
224,苏州府
225,通州
226,沂州府
227,兖州府
228,济宁州
229,归德府
230,光州
231,汝宁府
232,漳州府
233,汀州府
234,泉州府
235,龙岩州
236,兴化府
237,福州府
238,福宁府
239,建宁府
240,邵武府
241,延平府
242,永春州
243,温州府
244,处州府
245,永绥厅
246,乾州厅
247,凤凰厅
248,晃州厅
249,佛冈厅
250,连山厅
251,澧州
252,常德府
253,岳州府
254,长沙府
255,宝庆府
256,永顺府
257,辰州府
258,沅州府
259,靖州
260,衡州府
261,永州府
262,桂阳州
263,郴州
264,韶州府
265,南雄州
266,连州
267,惠州府
268,嘉应州
269,广州府
270,高州府
271,罗定州
272,雷州府
273,西安府
274,平凉府
275,凤翔府
276,泾州
277,庆阳府
278,伊克昭盟
279,阶州
280,保宁府
281,汉中府
282,秦州
283,绛州
284,蒲州府
285,陕州
286,酉阳州
287,夔州府
288,太平厅
289,松桃厅
290,铜仁府
291,思州府
292,镇远府
293,黎平府
294,桂林府
295,廉州府
296,南宁府
297,郁林州
298,浔州府
299,梧州府
300,赣州府
301,建昌府
302,九江府
303,南昌府
304,饶州府
305,杭州府
306,严州府
307,肇庆府
308,潮州府
309,台州府
310,衢州府
311,金华府
312,绍兴府
313,宁波府
314,邠州
315,乾州
316,曹州府
