,0
0,厦门
1,康熙安陆府
2,三姓副都统（光绪八年1882设三姓厅，三十一年设依兰府
3,阿勒楚喀副都统
4,阿勒楚喀副都统（光绪八年(1882)置双城厅，宣统元年(1909)升为双城府
5,三姓副都统富克锦城，光绪三十一年（1905年）后属临江府
6,桦川县
7,吉林副都统长春厅（光绪十四年升为长春府
8,吉林府
9,新城府
10,吉林将军属柳条边新边下九台
11,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1881年)改吉林厅为府
12,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1882年)改吉林厅为府
13,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1883年)改吉林厅为府
14,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1884年)改吉林厅为府
15,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1885年)改吉林厅为府
16,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1886年)改吉林厅为府
17,乾隆十二年(1747年)置吉林直隶厅，光绪七年(1887年)改吉林厅为府
18,伊通州梨树县
19,宁古塔副都统，１９０９年改为珲春厅
20,龙江府
21,宁古塔副都统（后改绥芬厅、绥芬府
22,齐齐哈尔副都统呼兰
23,呼兰厅（光绪三十一年设巴彦州）
24,绥化厅（三十年光绪十二月 (1905.1) 升为绥化府
25,瑷珲城
26,呼兰府
27,光绪三十年设海伦厅，三十四年为海伦府
28,安达厅
29,昌图府
30,海龙府
31,兴京府
32,辉南厅
33,洮南府
34,法库厅
35,新民屯，光绪二十八年后属新民府
36,和州含山县
37,滁州全椒县
38,泗州五河县
39,泗州盱眙县
40,滁州来安县
41,百色厅
42,前藏拉萨城
43,前藏泽当
44,后藏日喀则
45,康部察木多？
46,绵州梓潼县
47,绵州安县
48,懋功屯务厅
49,许州襄城县
50,汝州鲁山县
51,汝州伊阳县
52,汝州郏县
53,浃沟县？扶沟县？
54,光州固始县
55,光州息县
56,汝州宝丰县
57,许州郾城县
58,许州长葛县
59,许州临颍县
60,郑州（清开封府
61,开封（清开封府
62,洛阳（清河南府
63,平顶山（清汝州、许州部分地区）
64,焦作（怀庆府
65,新乡（卫辉府
66,周口（陈州）
67,南阳（南阳府
68,驻马店（汝宁府
69,合计
70,郑州市
71,开封市
72,洛阳市
73,平顶山
74,安阳市
75,鹤壁市
76,新乡市
77,焦作市
78,濮阳市
79,许昌市
80,漯河市
81,三门峡
82,南阳市
83,商丘市
84,信阳市
85,周口市
86,驻马店
87,济源市
88,甘州卫，清雍正二年(1724)改为甘州府
89,化平厅
90,甘州张掖县
91,遵化州丰润县
92,遵化州玉田县
93,易州涞水县
94,口北三厅张家口厅
95,口北三厅独石口厅
